Abbaye, Pt.,	46-58N	88-08W
Abbeville, Ala.,	31-34N	85-15W
Abbeville, La,	29-58N	92-08W
Abbeville	34-11N	82-23W
Aberdeen, Ala.,	33-49N	88-33W
Aberdeen, Idhao	42-57N	112-50W
Aberdeen, Md.,	39-31N	76-10W
Aberdeen, S. Dak.,	45-28N	98-29W
Aberdeen  Wash.	46-59N	123-50W
Abernathy	33-50N	101-51W
Abert	42-38N	120-14W
Abilene,  Kans.	38-55N	97-13W
Abilene, Tex.,	32-28N	99-43W
Abingdon	36-43N	81-59W
Absaroka  Range	44-45N	109-50W
Acadia Nat.  Park	44-20N	68-13W
Accomac	37-43N	75-40W
Ackerman	33-19N	89-11W
Acme	40-08N	79-26W
Ada, Minn.,	47-18N	96-31W
Ada, Okla.,	34-46N	96-41W
Adak I.,	51-45N	176-45W
Adams, Mass.,	42-38N	73-07W
Adams, N.Y.,	43-49N	76-01W
Adams, Wis.,	43-57N	89-49W
Adams Mt.,	46-12N	121-30W
Addison	42-01N	77-14W
Adel	31-08N	83-25W
Adelanto	34-35N	117-22W
Adirondack  Mts.,	44-00N	74-00W
Admiralty L.,	57-30N	134-30W
Adrian,  Mich.,	41-54N	84-02W
Adrian, Tex.,	35-16N	102-40W
Afton, N.Y.,	42-14N	75-32W
Afton, Wyo.,	42-44N	110-56W
Agawam	42-05N	72-37W
Agua Caliente  Springs	32-56N	116-19W
Aguanga	33-27N	116-51W
Ahoskie	36-17N	76-59W
Aiken	33-34N	81-43W
Ainsworth	42-33N	99-52W
Aitkin	46-32N	93-42W
Ajo	32-22N	112-52W
Akron, Colo.,	40-10N	103-13W
Akron, Ohio	41-05N	81-31W
Alabama	33-00N	87-00W
Alabame	31-08N	87-57W
Alabaster	33015N	86-49W
Alachua	29-47N	82-30W
Alameda,  Calif.,	37-46N	122-15W
Alameda, N.  Mex.,	35-11N	106-37W
Alamo	37-22N	115-10W
Alamo  Crossing	34-16N	113-33W
Alamogordo	32-54N	105-57W
Alamosa	37-28N	105-52W
Alaska	64-00N	154-00W
Alaska  Peninsula	56-00N	159-00W
Alaska Range	62-50N	151-00W
Alava, C.,	48-10N	124-44W
Albany, Ga.,	31-35N	84-10W
Albany, N.  Y.,	42-39N	73-45W
Albany,  Oreg.,	44-38N	123-06W
Albany, Tex.,	32-44N	99-18W
Albemarle	35-21N	80-11W
Albemarls  Sd.,	36-05N	76-00W
Albert Lea	43-39S	93-22W
Albertville	34-16N	86-13W
Albia	41-02N	92-48W
Albion,  Mich.,	42-15N	84-45W
Albion,  Nebr.,	41-42N	98-00W
Albion, Pa.,	41-53N	80-22W
Albuquerque	35-05N	106-39W
Alburg	44-59N	73-18W
Alcova	42-34N	106-43W
Alder Pk.,	35-53N	121-22W
Aledo	41-12N	90-45W
Alenuihaha  Channel	20-30N	156-00W
Alexander	47-51N	103-39W
Alexander  Arch.,	56-00N	136-00W
Alexander  City	32-56N	85-58W
Alexandria,  La.,	31-18N	92-27W
Alexandria,  Minn.,	45-53N	95-22W
Alexandria,  S. Dak.,	43-39N	97-47W
Alexandria,  Va.,	38-48N	77-03W
Alexandria  Bay	44-20N	75-55W
Alfred, Maine	43-29N	70-43W
Alfred, N.Y.,	42-16N	77-48W
Algoma	44-36N	87-26W
Algona	43-04N	94-14W
Algonac,	42-37N	82-32W
Alhambra	34-08N	118-06W
Alice	27-45N	98-05W
Aliceville	33-08N	88-09W
Aliquippa	40-37N	80-15W
All American  Canal	32-45N	115-15W
Allagash	47-05N	69-03W
Allegany	42-06N	78-30W
Allegheny	40-27N	80-01W
Allegheny  Mts.,	38-15N	80-10W
Allegheny  Reservoir	41-50N	79-00W
Allendale	33-01N	81-18W
Allentown	40-37N	75-29W
Alliance,  Nebr.,	42-06N	102-52W
Alliance,  Ohio	40-55N	81-06W
Alma, Ga.,	31-33N	82-28W
Alma, Kans.,	39-01N	96-17W
