David Pat Fuschetto, MD	Cardiology, Interventional Cardiology, Internal Medicine, Nuclear Cardiology	Long Island Jewish Medical Center	/find-care/find-a-doctor/cardiology/dr-david-pat-fuschetto-md-11360529
Roger Adam Rahtz, MD	Psychiatry	Lenox Hill Hospital	/find-care/find-a-doctor/psychiatry/dr-roger-adam-rahtz-md-11355931
Robert N Corriel, MD	Allergy and Immunology, Pediatrics	North Shore University Hospital	/find-care/find-a-doctor/pediatrics/dr-robert-n-corriel-md-11307651
Barry M. Wein, DO	Internal Medicine, Critical Care Medicine	Peninsula Hospital Center	/find-care/find-a-doctor/internal-medicine/dr-barry-m-wein-do-11314039
Gregory Zapantis, MD	Reproductive Endo/Infertility, Obstetrics and Gynecology	State University of NY Health Science Ctr/Brooklyn	/find-care/find-a-doctor/obstetrics-and-gynecology/dr-gregory-zapantis-md-11317013
James Edward DiPoce, MD	Radiology	Sound Shore Medical Center of Westchester GME	/find-care/find-a-doctor/radiology/dr-james-edward-dipoce-md-11366099
Michael Leslie Nimaroff, MD	Obstetrics and Gynecology	Assistant Professor, Hofstra Northwell School of Medicine	/find-care/find-a-doctor/obstetrics-and-gynecology/dr-michael-leslie-nimaroff-md-11308310
Urszula Krystyna Rakowska, MD, MBA	Pediatrics, Pediatric Emergency Medicine	Huntington Hospital, Long Island Jewish Medical Center, North Shore University Hospital, Southside Hospital, Steven and Alexandra Cohen Childrens Med Ctr of NY	/find-care/find-a-doctor/pediatrics/dr-urszula-krystyna-rakowska-md-mba-11313986
Hugh David Melnick, MD	Reproductive Endo/Infertility, Obstetrics and Gynecology	Lenox Hill Hospital	/find-care/find-a-doctor/obstetrics-and-gynecology/dr-hugh-david-melnick-md-11357990
Simon E. Prince, DO	Nephrology, Internal Medicine	New York College of Osteopathic Medicine	/find-care/find-a-doctor/nephrology/dr-simon-e-prince-do-11312317
Joanne Kechejian, MD	Internal Medicine	UMass Memorial Medical Center - University Campus	/find-care/find-a-doctor/internal-medicine/dr-joanne-kechejian-md-11354709
Peter Mark Blauzvern, DDS	Dental Medicine	Long Island Jewish Medical Center	/find-care/find-a-doctor/dental-medicine/dr-peter-mark-blauzvern-dds-11312306
Charlotte E Reich, MD	Emergency Medicine	UMDNJ School of Health Related Professions	/find-care/find-a-doctor/emergency-medicine/dr-charlotte-e-reich-md-11366102
Monika Izabela Woroniecka, MD	Allergy and Immunology, Pediatrics	Buffalo General Hospital - Kaleida Health System	/find-care/find-a-doctor/pediatrics/dr-monika-izabela-woroniecka-md-11317087
Steven E. Rubin, MD	Pediatric Ophthalmology	Professor, Hofstra Northwell School of Medicine	/find-care/find-a-doctor/pediatric-ophthalmology/dr-steven-e-rubin-md-11308353
Marvin A Kaplan, MD	Psychiatry	Kings County Hospital Center	/find-care/find-a-doctor/psychiatry/dr-marvin-a-kaplan-md-11356163
Sharon B Markovics, MD	Allergy and Immunology, Pediatrics	Montreal Childrens Hospital, New York University School of Medicine	/find-care/find-a-doctor/pediatrics/dr-sharon-b-markovics-md-11307328
Martin Matalon, MD	Obstetrics and Gynecology	Brookdale University Hospital and Medical Center	/find-care/find-a-doctor/obstetrics-and-gynecology/dr-martin-matalon-md-11352852
David Mark Witkes, DO	Interventional Cardiology, Cardiology, Internal Medicine	New York College of Osteopathic Medicine	/find-care/find-a-doctor/cardiology/dr-david-mark-witkes-do-11311198
David S. Hirschorn, MD	Radiology, Diagnostic Radiology	Rutgers - New Jersey Medical School  - GME	/find-care/find-a-doctor/radiology/dr-david-s-hirschorn-md-11366111
Fotini J Kokotos, MD	Pediatrics	New York University School of Medicine	/find-care/find-a-doctor/pediatrics/dr-fotini-j-kokotos-md-11357065
Eugene Sperandio Bonapace, MD	Gastroenterology, Internal Medicine	New York Hospital Weill Cornell Medical Center	/find-care/find-a-doctor/gastroenterology/dr-eugene-sperandio-bonapace-md-11309035
Gary Scott Kasten, DO	Obstetrics and Gynecology	Clinical Assistant Professor, Hofstra Northwell School of Medicine	/find-care/find-a-doctor/obstetrics-and-gynecology/dr-gary-scott-kasten-do-11353013
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	UMDNJ / Univ. of Med/Dent New Jersey	/find-care/find-a-doctor/psychiatry/dr-alan-kevin-geller-do-11357690
Elliot Goldofsky, MD	Otolaryngology, Neurotology	Mount Sinai School of Medicine	/find-care/find-a-doctor/neurotology/dr-elliot-goldofsky-md-11311312
Jose Barbazan-Silva, MD	Family Medicine	State University of NY Health Science Ctr/Brooklyn	/find-care/find-a-doctor/family-medicine/dr-jose-barbazan-silva-md-11357069
Priya Tyagi, MD	Hospital Medicine, Internal Medicine	Bronx Lebanon Hospital Center	/find-care/find-a-doctor/hospital-medicine/dr-priya-tyagi-md-11366136
Mark Salerno, DDS	Dental Medicine	Southside Hospital	/find-care/find-a-doctor/dental-medicine/dr-mark-salerno-dds-11352906
Eric Craig Last, DO	Internal Medicine	New York College of Osteopathic Medicine	/find-care/find-a-doctor/internal-medicine/dr-eric-craig-last-do-11310698
Janusz Plawner, MD	Urology	Cabrini Medical Center, Mount Sinai Beth Israel -- Petrie Division, New York University School of Medicine	/find-care/find-a-doctor/urology/dr-janusz-plawner-md-11355845
Paula Michelle Kreitzer, MD	Pediatric Endocrinology, Pediatrics	University of North Carolina at Chapel Hill	/find-care/find-a-doctor/pediatrics/dr-paula-michelle-kreitzer-md-11309040
Alan Mechanic, MD	Neurological Surgery	Emory University School of Medicine	/find-care/find-a-doctor/neurological-surgery/dr-alan-mechanic-md-11308484
