David Pat Fuschetto, MD	Cardiology, Interventional Cardiology, Internal Medicine, Nuclear Cardiology	Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.846153846154	40.7546839922	-73.7086773402
Roger Adam Rahtz, MD	Psychiatry	Lenox Hill Hospital	Lenox Hill Hospital	1.0	40.77364375	-73.9608192444
Robert N Corriel, MD	Allergy and Immunology, Pediatrics	North Shore University Hospital	North Shore University Hospital	1.0	40.7773426229	-73.7017289327
Barry M. Wein, DO	Internal Medicine, Critical Care Medicine	Peninsula Hospital Center	Queens Hospital Center	0.808510638298	40.7171760975	-73.8041353226
Hugh David Melnick, MD	Reproductive Endo/Infertility, Obstetrics and Gynecology	Lenox Hill Hospital	Lenox Hill Hospital	1.0	40.77364375	-73.9608192444
Peter Mark Blauzvern, DDS	Dental Medicine	Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.846153846154	40.7546839922	-73.7086773402
Marvin A Kaplan, MD	Psychiatry	Kings County Hospital Center	Kings County Hospital Center	1.0	40.6567131208	-73.9431810379
Martin Matalon, MD	Obstetrics and Gynecology	Brookdale University Hospital and Medical Center	Brookdale University Hospital Medical Center	0.95652173913	40.654879833	-73.9123037943
Eugene Sperandio Bonapace, MD	Gastroenterology, Internal Medicine	New York Hospital Weill Cornell Medical Center	New York Presbyterian Hospital Weill Cornell Medical Center	0.87619047619	40.7647773138	-73.9542734954
Priya Tyagi, MD	Hospital Medicine, Internal Medicine	Bronx Lebanon Hospital Center	Bronx Lebanon Hospital	0.862745098039	40.8434923518	-73.9114368645
Mark Salerno, DDS	Dental Medicine	Southside Hospital	Southside Hospital	1.0	40.7259299596	-73.2407042176
Kauser Yasmeen, MD	Internal Medicine	Nassau University Medical Center	Nassau University Medical Center (NuHealth)	0.853333333333	40.7263750189	-73.5540726642
Patricia O'Sullivan, MD	Obstetrics and Gynecology	Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.846153846154	40.7546839922	-73.7086773402
Lauren Noelle Elliston, MD	Obstetrics and Gynecology	Lenox Hill Hospital	Lenox Hill Hospital	1.0	40.77364375	-73.9608192444
Hosam Sayed, MD	Critical Care Medicine, Internal Medicine, Pulmonary Disease	Huron Hospital	Horton Hospital	0.896551724138	41.4430015379	-74.4088477043
Joseph Tripodi, DO	Gastroenterology, Internal Medicine	Winthrop University Hospital	Winthrop University Hospital	1.0	40.7409492381	-73.6432027817
John Lopes, MD	Obstetrics and Gynecology	Brookdale University Hospital and Medical Center	Brookdale University Hospital Medical Center	0.95652173913	40.654879833	-73.9123037943
Petros Panagos, DDS	Oral/Maxillofacial Surgery	Bellevue Hospital Center	Bellevue Hospital Center	1.0	40.7397070664	-73.9764343697
Stephanie Karol Becker, MD	Ophthalmology	North Shore University Hospital	North Shore University Hospital	1.0	40.7773426229	-73.7017289327
Erika Lee Doukas, PsyD	Psychology	Lenox Hill Hospital	Lenox Hill Hospital	1.0	40.77364375	-73.9608192444
