A. Douglas Heymann, MD	Surgery	Clinical Assistant Professor, Hofstra Northwell School of Medicine	/find-care/find-a-doctor/surgery/dr-a-douglas-heymann-md-11355713
A. Peter Salas, MD	Plastic Surgery, Surgery	Providence Hospital and Medical Center - GME, Wayne State University / Detroit Medical Center	/find-care/find-a-doctor/surgery/dr-a-peter-salas-md-11358646
A. Philip Fontanetta, MD	Orthopaedic Surgery	Univ of CA Davis Medical Center - GME pre 1975, Univ of CA Davis Medical Center - GME pre 1975	/find-care/find-a-doctor/orthopaedic-surgery/dr-a-philip-fontanetta-md-11351610
Aaron David Kessel, MD	Pediatric Critical Care Med, Pediatrics	SUNY Downstate College of Medicine	/find-care/find-a-doctor/pediatrics/dr-aaron-david-kessel-md-11354296
Aaron David Mishkin, MD	Internal Medicine	North Shore University Hospital	/find-care/find-a-doctor/internal-medicine/dr-aaron-david-mishkin-md-11369278
Aaron Davidson, MD	Obstetrics and Gynecology	New York University School of Medicine	/find-care/find-a-doctor/obstetrics-and-gynecology/dr-aaron-davidson-md-11312359
Aaron Freilich, MD	Cardiology, Internal Medicine	Mount Sinai School of Medicine	/find-care/find-a-doctor/cardiology/dr-aaron-freilich-md-11310001
Aaron Jonathan Gindea, MD	Cardiology, Internal Medicine	New York University School of Medicine	/find-care/find-a-doctor/cardiology/dr-aaron-jonathan-gindea-md-11308818
Aaron Leo Gottesman, MD	Hospital Medicine, Internal Medicine, Emergency Medicine	Assistant Professor, Hofstra Northwell School of Medicine	/find-care/find-a-doctor/hospital-medicine/dr-aaron-leo-gottesman-md-11364641
Aaron M. Winnick, MD	Surgery	State University of NY Health Science Ctr/Brooklyn	/find-care/find-a-doctor/surgery/dr-aaron-m-winnick-md-11362800
Aaron Michael Lipskar, MD	Surgery, Pediatric Surgery	Temple University School of Medicine	/find-care/find-a-doctor/surgery/dr-aaron-michael-lipskar-md-11317882
Aaron Richard Harrison, MD	Gastroenterology, Internal Medicine	Albert Einstein College of Medicine	/find-care/find-a-doctor/gastroenterology/dr-aaron-richard-harrison-md-11353243
Abbas Husain, MD	Emergency Medicine	Drexel University College of Medicine - Queen Lane	/find-care/find-a-doctor/emergency-medicine/dr-abbas-husain-md-11362176
Abbey Rachel Wolf, MD	Cardiology, Internal Medicine, Cardiology	New York Medical College	/find-care/find-a-doctor/cardiology/dr-abbey-rachel-wolf-md-11350214
Abdul Ali Khuwaja, MD	Medical Oncology, Hematology, Internal Medicine	Bronx Lebanon Hospital Center, Altoona Hospital, Long Island Jewish Medical Center	/find-care/find-a-doctor/hematology/dr-abdul-ali-khuwaja-md-11314513
Abdul Sattar, MBBS	Internal Medicine	Queens Hospital Center	/find-care/find-a-doctor/internal-medicine/dr-abdul-sattar-mbbs-11374131
Abena Otema Appiah-Kubi, MD	Pediatrics, Pediatric Hematology/Oncology	Inova Fairfax Hospital for Children	/find-care/find-a-doctor/pediatrics/dr-abena-otema-appiah-kubi-md-11361128
Abha Goyal, MBBS	Pathology - Clinical, Cytopathology	Hofstra University, University of Texas Health Science Ctr - Houston	/find-care/find-a-doctor/cytopathology/dr-abha-goyal-mbbs-11373603
Abiola Olawale Familusi, MD	Internal Medicine, Physical/Rehab Medicine	University of Ibadan	/find-care/find-a-doctor/internal-medicine/dr-abiola-olawale-familusi-md-11349464
Abraham David Flug, MD	Ophthalmology	Long Island Jewish Medical Center	/find-care/find-a-doctor/ophthalmology/dr-abraham-david-flug-md-11315134
Abraham I. Green, MD	Pediatrics	Jacobi Hospital	/find-care/find-a-doctor/pediatrics/dr-abraham-i-green-md-11311509
Abraham J. Herzberg, DPM	Podiatric Medicine and Surgery	Veterans Affairs Maryland Health Care System	/find-care/find-a-doctor/podiatric-medicine-and-surgery/dr-abraham-j-herzberg-dpm-11311106
Abraham Klepfish, MD	Emergency Medicine	Long Island Jewish Forest Hills, Long Island Jewish Medical Center, Long Island Jewish Valley Stream, North Shore University Hospital, 	
Abraham Maier Glasman, MD	Neurology	Long Island Jewish Medical Center	/find-care/find-a-doctor/neurology/dr-abraham-maier-glasman-md-11316094
Abraham Mathew, CSW	Social Work		/find-care/find-a-doctor/social-work/dr-abraham-mathew-csw-11364353
Abraham Tobias Schneider, MD	Cardiology, Cardiology, Internal Medicine	Albert Einstein College of Medicine	/find-care/find-a-doctor/cardiology/dr-abraham-tobias-schneider-md-11353213
Abraham Tobias Winter, MD	Ophthalmology	New York University School of Medicine, VA Medical Center - Brooklyn	/find-care/find-a-doctor/ophthalmology/dr-abraham-tobias-winter-md-11314821
Abraham Zerykier, MD	Ophthalmology	Interfaith Medical Center	/find-care/find-a-doctor/ophthalmology/dr-abraham-zerykier-md-11364459
Abrar Husain, DO	Nephrology, Internal Medicine	North Shore University Hospital	/find-care/find-a-doctor/nephrology/dr-abrar-husain-do-11311972
Abul Husain Moral, MD	Internal Medicine	St Elizabeth Hospital Inc	/find-care/find-a-doctor/internal-medicine/dr-abul-husain-moral-md-11348379
Ada Hass, MD	Pediatrics	Mount Sinai School of Medicine	/find-care/find-a-doctor/pediatrics/dr-ada-hass-md-11309568
Adam Arie Harris, MD	Internal Medicine	New York University Langone Medical Center	/find-care/find-a-doctor/internal-medicine/dr-adam-arie-harris-md-11371913
Adam Auerbach, MD	Cardiology, Internal Medicine, Nuclear Cardiology	Albert Einstein College of Medicine	/find-care/find-a-doctor/cardiology/dr-adam-auerbach-md-11348427
